index,class_id,class_name,artist,music_name,music_img,youtube_link
18,n01582220,magpie,Садко,Улетай ,https://vdp.mycdn.me/getImage?id=275985664554&idx=3&thumbType=32,https://www.youtube.com/watch?v=pWlT_fMIo6s
19,n01592084,chickadee,Садко,Улетай ,https://vdp.mycdn.me/getImage?id=275985664554&idx=3&thumbType=32,https://www.youtube.com/watch?v=pWlT_fMIo6s
20,n01601694,water_ouzel,Садко,Улетай ,https://vdp.mycdn.me/getImage?id=275985664554&idx=3&thumbType=32,https://www.youtube.com/watch?v=pWlT_fMIo6s
21,n01608432,kite,Садко,Улетай ,https://vdp.mycdn.me/getImage?id=275985664554&idx=3&thumbType=32,https://www.youtube.com/watch?v=pWlT_fMIo6s
22,n01614925,bald_eagle,Садко,Улетай ,https://vdp.mycdn.me/getImage?id=275985664554&idx=3&thumbType=32,https://www.youtube.com/watch?v=pWlT_fMIo6s
23,n01616318,vulture,Садко,Улетай ,https://vdp.mycdn.me/getImage?id=275985664554&idx=3&thumbType=32,https://www.youtube.com/watch?v=pWlT_fMIo6s
24,n01622779,great_grey_owl,Садко,Улетай ,https://vdp.mycdn.me/getImage?id=275985664554&idx=3&thumbType=32,https://www.youtube.com/watch?v=pWlT_fMIo6s
25,n01629819,European_fire_salamander,"DJ Snake, Lil Jon",Turn Down for What,https://avatars.yandex.net/get-music-content/117546/ab7045ca.a.4626486-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=HMUDVMiITOU
26,n01630670,common_newt,"DJ Snake, Lil Jon",Turn Down for What,https://avatars.yandex.net/get-music-content/117546/ab7045ca.a.4626486-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=HMUDVMiITOU
27,n01631663,eft,"DJ Snake, Lil Jon",Turn Down for What,https://avatars.yandex.net/get-music-content/117546/ab7045ca.a.4626486-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=HMUDVMiITOU
28,n01632458,spotted_salamander,"DJ Snake, Lil Jon",Turn Down for What,https://avatars.yandex.net/get-music-content/117546/ab7045ca.a.4626486-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=HMUDVMiITOU
29,n01632777,axolotl,"DJ Snake, Lil Jon",Turn Down for What,https://avatars.yandex.net/get-music-content/117546/ab7045ca.a.4626486-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=HMUDVMiITOU
30,n01641577,bullfrog,Crazy frog,Axel F,https://img1.goodfon.ru/original/1920x1200/0/c6/crazy-frog-lyagushka-kreyzi.jpg,https://www.youtube.com/watch?v=k85mRPqvMbE
31,n01644373,tree_frog,Crazy frog,Axel F,https://img1.goodfon.ru/original/1920x1200/0/c6/crazy-frog-lyagushka-kreyzi.jpg,https://www.youtube.com/watch?v=k85mRPqvMbE
32,n01644900,tailed_frog,Crazy frog,Axel F,https://img1.goodfon.ru/original/1920x1200/0/c6/crazy-frog-lyagushka-kreyzi.jpg,https://www.youtube.com/watch?v=k85mRPqvMbE
33,n01664065,loggerhead,Tech N9ne,Am I A Psycho?,http://images.genius.com/7d4c4dfa3d56e3cd0f59836ef122ff24.1000x1000x1.jpg,https://www.youtube.com/watch?v=4v1zuIYNoFw
34,n01665541,leatherback_turtle,"Juicy J, Wiz Khalifa, Ty Dolla $ign",Shell Shocked,https://upload.wikimedia.org/wikipedia/en/f/f3/Teenage_Mutant_Ninja_Turtles_Shell_Shocked_Cover.jpg,https://www.youtube.com/watch?v=BaACrT6Ydik
35,n01667114,mud_turtle,"Juicy J, Wiz Khalifa, Ty Dolla $ign",Shell Shocked,https://upload.wikimedia.org/wikipedia/en/f/f3/Teenage_Mutant_Ninja_Turtles_Shell_Shocked_Cover.jpg,https://www.youtube.com/watch?v=BaACrT6Ydik
36,n01667778,terrapin,"Juicy J, Wiz Khalifa, Ty Dolla $ign",Shell Shocked,https://upload.wikimedia.org/wikipedia/en/f/f3/Teenage_Mutant_Ninja_Turtles_Shell_Shocked_Cover.jpg,https://www.youtube.com/watch?v=BaACrT6Ydik
37,n01669191,box_turtle,"Juicy J, Wiz Khalifa, Ty Dolla $ign",Shell Shocked,https://upload.wikimedia.org/wikipedia/en/f/f3/Teenage_Mutant_Ninja_Turtles_Shell_Shocked_Cover.jpg,https://www.youtube.com/watch?v=BaACrT6Ydik
38,n01675722,banded_gecko,"DJ Snake, Lil Jon",Turn Down for What,https://avatars.yandex.net/get-music-content/117546/ab7045ca.a.4626486-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=HMUDVMiITOU
39,n01677366,common_iguana,"DJ Snake, Lil Jon",Turn Down for What,https://avatars.yandex.net/get-music-content/117546/ab7045ca.a.4626486-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=HMUDVMiITOU
40,n01682714,American_chameleon,"DJ Snake, Lil Jon",Turn Down for What,https://avatars.yandex.net/get-music-content/117546/ab7045ca.a.4626486-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=HMUDVMiITOU
41,n01685808,whiptail,"DJ Snake, Lil Jon",Turn Down for What,https://avatars.yandex.net/get-music-content/117546/ab7045ca.a.4626486-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=HMUDVMiITOU
42,n01687978,agama,"DJ Snake, Lil Jon",Turn Down for What,https://avatars.yandex.net/get-music-content/117546/ab7045ca.a.4626486-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=HMUDVMiITOU
43,n01688243,frilled_lizard,"DJ Snake, Lil Jon",Turn Down for What,https://avatars.yandex.net/get-music-content/117546/ab7045ca.a.4626486-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=HMUDVMiITOU
44,n01689811,alligator_lizard,"DJ Snake, Lil Jon",Turn Down for What,https://avatars.yandex.net/get-music-content/117546/ab7045ca.a.4626486-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=HMUDVMiITOU
45,n01692333,Gila_monster,"DJ Snake, Lil Jon",Turn Down for What,https://avatars.yandex.net/get-music-content/117546/ab7045ca.a.4626486-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=HMUDVMiITOU
46,n01693334,green_lizard,"DJ Snake, Lil Jon",Turn Down for What,https://avatars.yandex.net/get-music-content/117546/ab7045ca.a.4626486-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=HMUDVMiITOU
47,n01694178,African_chameleon,"DJ Snake, Lil Jon",Turn Down for What,https://avatars.yandex.net/get-music-content/117546/ab7045ca.a.4626486-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=HMUDVMiITOU
48,n01695060,Komodo_dragon,"DJ Snake, Lil Jon",Turn Down for What,https://avatars.yandex.net/get-music-content/117546/ab7045ca.a.4626486-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=HMUDVMiITOU
49,n01697457,African_crocodile,Крокодил Гена ,День рождения,https://i.pinimg.com/originals/c9/d4/75/c9d475741d41b55a239411dea03c4f58.jpg,https://www.youtube.com/watch?v=tAG2cCGbQi0
50,n01698640,American_alligator,Крокодил Гена ,День рождения,https://i.pinimg.com/originals/c9/d4/75/c9d475741d41b55a239411dea03c4f58.jpg,https://www.youtube.com/watch?v=tAG2cCGbQi0
51,n01704323,triceratops,"Juicy J, Wiz Khalifa, Ty Dolla $ign",Shell Shocked,https://upload.wikimedia.org/wikipedia/en/f/f3/Teenage_Mutant_Ninja_Turtles_Shell_Shocked_Cover.jpg,https://www.youtube.com/watch?v=BaACrT6Ydik
52,n01728572,thunder_snake,"DJ Snake, Lil Jon",Turn Down for What,https://avatars.yandex.net/get-music-content/117546/ab7045ca.a.4626486-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=HMUDVMiITOU
53,n01728920,ringneck_snake,"DJ Snake, Lil Jon",Turn Down for What,https://avatars.yandex.net/get-music-content/117546/ab7045ca.a.4626486-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=HMUDVMiITOU
54,n01729322,hognose_snake,"DJ Snake, Lil Jon",Turn Down for What,https://avatars.yandex.net/get-music-content/117546/ab7045ca.a.4626486-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=HMUDVMiITOU
55,n01729977,green_snake,"DJ Snake, Lil Jon",Turn Down for What,https://avatars.yandex.net/get-music-content/117546/ab7045ca.a.4626486-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=HMUDVMiITOU
56,n01734418,king_snake,"DJ Snake, Lil Jon",Turn Down for What,https://avatars.yandex.net/get-music-content/117546/ab7045ca.a.4626486-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=HMUDVMiITOU
57,n01735189,garter_snake,"DJ Snake, Lil Jon",Turn Down for What,https://avatars.yandex.net/get-music-content/117546/ab7045ca.a.4626486-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=HMUDVMiITOU
58,n01737021,water_snake,"DJ Snake, Lil Jon",Turn Down for What,https://avatars.yandex.net/get-music-content/117546/ab7045ca.a.4626486-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=HMUDVMiITOU
59,n01739381,vine_snake,"DJ Snake, Lil Jon",Turn Down for What,https://avatars.yandex.net/get-music-content/117546/ab7045ca.a.4626486-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=HMUDVMiITOU
60,n01740131,night_snake,"DJ Snake, Lil Jon",Turn Down for What,https://avatars.yandex.net/get-music-content/117546/ab7045ca.a.4626486-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=HMUDVMiITOU
61,n01742172,boa_constrictor,"DJ Snake, Lil Jon",Turn Down for What,https://avatars.yandex.net/get-music-content/117546/ab7045ca.a.4626486-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=HMUDVMiITOU
62,n01744401,rock_python,"DJ Snake, Lil Jon",Turn Down for What,https://avatars.yandex.net/get-music-content/117546/ab7045ca.a.4626486-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=HMUDVMiITOU
63,n01748264,Indian_cobra,Limp Bizkit,Gold Cobra,https://i.ytimg.com/vi/XU7ss_6hooQ/hqdefault.jpg,https://www.youtube.com/watch?v=_i_qxQztHRI
64,n01749939,green_mamba,Limp Bizkit,Gold Cobra,https://i.ytimg.com/vi/XU7ss_6hooQ/hqdefault.jpg,https://www.youtube.com/watch?v=_i_qxQztHRI
65,n01751748,sea_snake,Limp Bizkit,Gold Cobra,https://i.ytimg.com/vi/XU7ss_6hooQ/hqdefault.jpg,https://www.youtube.com/watch?v=_i_qxQztHRI
66,n01753488,horned_viper,Limp Bizkit,Gold Cobra,https://i.ytimg.com/vi/XU7ss_6hooQ/hqdefault.jpg,https://www.youtube.com/watch?v=_i_qxQztHRI
67,n01755581,diamondback,Limp Bizkit,Gold Cobra,https://i.ytimg.com/vi/XU7ss_6hooQ/hqdefault.jpg,https://www.youtube.com/watch?v=_i_qxQztHRI
68,n01756291,sidewinder,Limp Bizkit,Gold Cobra,https://i.ytimg.com/vi/XU7ss_6hooQ/hqdefault.jpg,https://www.youtube.com/watch?v=_i_qxQztHRI
69,n01768244,trilobite,Oxxxymiron,Жук в муравейнике,https://images.genius.com/64bf922b95e212a0d7f7e918e0f857b6.1000x1000x1.jpg,https://www.youtube.com/watch?v=ul5mWxtHk80
70,n01770081,harvestman,Oxxxymiron,Жук в муравейнике,https://images.genius.com/64bf922b95e212a0d7f7e918e0f857b6.1000x1000x1.jpg,https://www.youtube.com/watch?v=ul5mWxtHk80
71,n01770393,scorpion,Scorpions,Wind Of Change,https://1.bp.blogspot.com/-zm0NXbChNvs/WZmxrahvhkI/AAAAAAAAEWw/Aa58tTk6Wgc_NHGG1g3BKGaRT1NPZuULgCLcBGAs/s1600/scorpions-wind-of-changed-mercury.jpg,https://www.youtube.com/watch?v=n4RjJKxsamQ
72,n01773157,black_and_gold_garden_spider,System Of A Down,Spiders,https://horrorzone.ru/uploads/1-wallpapers/wallpapers-persons/s/system-of-a-down/system-of-a-down07.jpg,https://www.youtube.com/watch?v=SqZNMvIEHhs
73,n01773549,barn_spider,System Of A Down,Spiders,https://horrorzone.ru/uploads/1-wallpapers/wallpapers-persons/s/system-of-a-down/system-of-a-down07.jpg,https://www.youtube.com/watch?v=SqZNMvIEHhs
74,n01773797,garden_spider,System Of A Down,Spiders,https://horrorzone.ru/uploads/1-wallpapers/wallpapers-persons/s/system-of-a-down/system-of-a-down07.jpg,https://www.youtube.com/watch?v=SqZNMvIEHhs
75,n01774384,black_widow,System Of A Down,Spiders,https://horrorzone.ru/uploads/1-wallpapers/wallpapers-persons/s/system-of-a-down/system-of-a-down07.jpg,https://www.youtube.com/watch?v=SqZNMvIEHhs
76,n01774750,tarantula,System Of A Down,Spiders,https://horrorzone.ru/uploads/1-wallpapers/wallpapers-persons/s/system-of-a-down/system-of-a-down07.jpg,https://www.youtube.com/watch?v=SqZNMvIEHhs
77,n01775062,wolf_spider,System Of A Down,Spiders,https://horrorzone.ru/uploads/1-wallpapers/wallpapers-persons/s/system-of-a-down/system-of-a-down07.jpg,https://www.youtube.com/watch?v=SqZNMvIEHhs
78,n01776313,tick,System Of A Down,Spiders,https://horrorzone.ru/uploads/1-wallpapers/wallpapers-persons/s/system-of-a-down/system-of-a-down07.jpg,https://www.youtube.com/watch?v=SqZNMvIEHhs
79,n01784675,centipede,Oxxxymiron,Жук в муравейнике,https://images.genius.com/64bf922b95e212a0d7f7e918e0f857b6.1000x1000x1.jpg,https://www.youtube.com/watch?v=ul5mWxtHk80
80,n01795545,black_grouse,T-Fest ,Улети,https://avatars.yandex.net/get-music-content/139444/b14dc7d4.a.4557070-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=CB0DEcaPwhw
81,n01796340,ptarmigan,T-Fest ,Улети,https://avatars.yandex.net/get-music-content/139444/b14dc7d4.a.4557070-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=CB0DEcaPwhw
82,n01797886,ruffed_grouse,T-Fest ,Улети,https://avatars.yandex.net/get-music-content/139444/b14dc7d4.a.4557070-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=CB0DEcaPwhw
83,n01798484,prairie_chicken,T-Fest ,Улети,https://avatars.yandex.net/get-music-content/139444/b14dc7d4.a.4557070-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=CB0DEcaPwhw
84,n01806143,peacock,T-Fest ,Улети,https://avatars.yandex.net/get-music-content/139444/b14dc7d4.a.4557070-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=CB0DEcaPwhw
85,n01806567,quail,T-Fest ,Улети,https://avatars.yandex.net/get-music-content/139444/b14dc7d4.a.4557070-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=CB0DEcaPwhw
86,n01807496,partridge,Садко,Улетай ,https://vdp.mycdn.me/getImage?id=275985664554&idx=3&thumbType=32,https://www.youtube.com/watch?v=pWlT_fMIo6s
87,n01817953,African_grey,Nicki Parrott,I Will Wait For You,https://mp4music.club/images/nicki-parrott-i-will-wait-for-you_eywjbnwg/58.jpg,https://www.youtube.com/watch?v=iBNm5FlyJvc
88,n01818515,macaw,Nicki Parrott,I Will Wait For You,https://mp4music.club/images/nicki-parrott-i-will-wait-for-you_eywjbnwg/58.jpg,https://www.youtube.com/watch?v=iBNm5FlyJvc
89,n01819313,sulphur-crested_cockatoo,Nicki Parrott,I Will Wait For You,https://mp4music.club/images/nicki-parrott-i-will-wait-for-you_eywjbnwg/58.jpg,https://www.youtube.com/watch?v=iBNm5FlyJvc
90,n01820546,lorikeet,Nicki Parrott,I Will Wait For You,https://mp4music.club/images/nicki-parrott-i-will-wait-for-you_eywjbnwg/58.jpg,https://www.youtube.com/watch?v=iBNm5FlyJvc
91,n01824575,coucal,Nicki Parrott,I Will Wait For You,https://mp4music.club/images/nicki-parrott-i-will-wait-for-you_eywjbnwg/58.jpg,https://www.youtube.com/watch?v=iBNm5FlyJvc
92,n01828970,bee_eater,Nicki Parrott,I Will Wait For You,https://mp4music.club/images/nicki-parrott-i-will-wait-for-you_eywjbnwg/58.jpg,https://www.youtube.com/watch?v=iBNm5FlyJvc
93,n01829413,hornbill,Nicki Parrott,I Will Wait For You,https://mp4music.club/images/nicki-parrott-i-will-wait-for-you_eywjbnwg/58.jpg,https://www.youtube.com/watch?v=iBNm5FlyJvc
94,n01833805,hummingbird,Nicki Parrott,I Will Wait For You,https://mp4music.club/images/nicki-parrott-i-will-wait-for-you_eywjbnwg/58.jpg,https://www.youtube.com/watch?v=iBNm5FlyJvc
95,n01843065,jacamar,T-Fest ,Улети,https://avatars.yandex.net/get-music-content/139444/b14dc7d4.a.4557070-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=CB0DEcaPwhw
96,n01843383,toucan,T-Fest ,Улети,https://avatars.yandex.net/get-music-content/139444/b14dc7d4.a.4557070-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=CB0DEcaPwhw
97,n01847000,drake,T-Fest ,Улети,https://avatars.yandex.net/get-music-content/139444/b14dc7d4.a.4557070-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=CB0DEcaPwhw
98,n01855032,red-breasted_merganser,T-Fest ,Улети,https://avatars.yandex.net/get-music-content/139444/b14dc7d4.a.4557070-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=CB0DEcaPwhw
99,n01855672,goose,T-Fest ,Улети,https://avatars.yandex.net/get-music-content/139444/b14dc7d4.a.4557070-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=CB0DEcaPwhw
100,n01860187,black_swan,T-Fest ,Улети,https://avatars.yandex.net/get-music-content/139444/b14dc7d4.a.4557070-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=CB0DEcaPwhw
101,n01871265,tusker,A$AP Rocky,Babushka Boi,https://thejasminebrand.com/wp-content/uploads/2019/08/Babushka-Boi.png,https://www.youtube.com/watch?v=KViOTZ62zBg
102,n01872401,echidna,Martin Garrix,Animals,https://media.customon.com/unsafe/600x600/img.customon.com//design/600/600/ffffff-5c488b/23282/a1bb46608b733c356439bb3c65cffc64.png.jpg,https://www.youtube.com/watch?v=gCYcHz2k5x0
103,n01873310,platypus,Martin Garrix,Animals,https://media.customon.com/unsafe/600x600/img.customon.com//design/600/600/ffffff-5c488b/23282/a1bb46608b733c356439bb3c65cffc64.png.jpg,https://www.youtube.com/watch?v=gCYcHz2k5x0
104,n01877812,wallaby,Martin Garrix,Animals,https://media.customon.com/unsafe/600x600/img.customon.com//design/600/600/ffffff-5c488b/23282/a1bb46608b733c356439bb3c65cffc64.png.jpg,https://www.youtube.com/watch?v=gCYcHz2k5x0
105,n01882714,koala,Martin Garrix,Animals,https://media.customon.com/unsafe/600x600/img.customon.com//design/600/600/ffffff-5c488b/23282/a1bb46608b733c356439bb3c65cffc64.png.jpg,https://www.youtube.com/watch?v=gCYcHz2k5x0
106,n01883070,wombat,Martin Garrix,Animals,https://media.customon.com/unsafe/600x600/img.customon.com//design/600/600/ffffff-5c488b/23282/a1bb46608b733c356439bb3c65cffc64.png.jpg,https://www.youtube.com/watch?v=gCYcHz2k5x0
107,n01910747,jellyfish,Matrang,Медуза,https://cdn.promodj.com/afs/3e15636d1c1523b6f24ea8b4395dcc5712:resize:2000x2000:same:9f6d02,https://www.youtube.com/watch?v=HNHbQXnTWbw
108,n01914609,sea_anemone,Matrang,Медуза,https://cdn.promodj.com/afs/3e15636d1c1523b6f24ea8b4395dcc5712:resize:2000x2000:same:9f6d02,https://www.youtube.com/watch?v=HNHbQXnTWbw
109,n01917289,brain_coral,Matrang,Медуза,https://cdn.promodj.com/afs/3e15636d1c1523b6f24ea8b4395dcc5712:resize:2000x2000:same:9f6d02,https://www.youtube.com/watch?v=HNHbQXnTWbw
110,n01924916,flatworm,Matrang,Медуза,https://cdn.promodj.com/afs/3e15636d1c1523b6f24ea8b4395dcc5712:resize:2000x2000:same:9f6d02,https://www.youtube.com/watch?v=HNHbQXnTWbw
111,n01930112,nematode,Matrang,Медуза,https://cdn.promodj.com/afs/3e15636d1c1523b6f24ea8b4395dcc5712:resize:2000x2000:same:9f6d02,https://www.youtube.com/watch?v=HNHbQXnTWbw
112,n01943899,conch,Matrang,Медуза,https://cdn.promodj.com/afs/3e15636d1c1523b6f24ea8b4395dcc5712:resize:2000x2000:same:9f6d02,https://www.youtube.com/watch?v=HNHbQXnTWbw
113,n01944390,snail,Matrang,Медуза,https://cdn.promodj.com/afs/3e15636d1c1523b6f24ea8b4395dcc5712:resize:2000x2000:same:9f6d02,https://www.youtube.com/watch?v=HNHbQXnTWbw
114,n01945685,slug,Matrang,Медуза,https://cdn.promodj.com/afs/3e15636d1c1523b6f24ea8b4395dcc5712:resize:2000x2000:same:9f6d02,https://www.youtube.com/watch?v=HNHbQXnTWbw
115,n01950731,sea_slug,Matrang,Медуза,https://cdn.promodj.com/afs/3e15636d1c1523b6f24ea8b4395dcc5712:resize:2000x2000:same:9f6d02,https://www.youtube.com/watch?v=HNHbQXnTWbw
116,n01955084,chiton,Matrang,Медуза,https://cdn.promodj.com/afs/3e15636d1c1523b6f24ea8b4395dcc5712:resize:2000x2000:same:9f6d02,https://www.youtube.com/watch?v=HNHbQXnTWbw
117,n01968897,chambered_nautilus,Matrang,Медуза,https://cdn.promodj.com/afs/3e15636d1c1523b6f24ea8b4395dcc5712:resize:2000x2000:same:9f6d02,https://www.youtube.com/watch?v=HNHbQXnTWbw
118,n01978287,Dungeness_crab,Noisestorm,Crab Rave,https://img5.goodfon.ru/original/2041x1080/d/54/noisestorm-crab-rave-music-cover-monstercat.jpg,https://www.youtube.com/watch?v=LDU_Txk06tM
119,n01978455,rock_crab,Noisestorm,Crab Rave,https://img5.goodfon.ru/original/2041x1080/d/54/noisestorm-crab-rave-music-cover-monstercat.jpg,https://www.youtube.com/watch?v=LDU_Txk06tM
120,n01980166,fiddler_crab,Noisestorm,Crab Rave,https://img5.goodfon.ru/original/2041x1080/d/54/noisestorm-crab-rave-music-cover-monstercat.jpg,https://www.youtube.com/watch?v=LDU_Txk06tM
121,n01981276,king_crab,Noisestorm,Crab Rave,https://img5.goodfon.ru/original/2041x1080/d/54/noisestorm-crab-rave-music-cover-monstercat.jpg,https://www.youtube.com/watch?v=LDU_Txk06tM
122,n01983481,American_lobster,Noisestorm,Crab Rave,https://img5.goodfon.ru/original/2041x1080/d/54/noisestorm-crab-rave-music-cover-monstercat.jpg,https://www.youtube.com/watch?v=LDU_Txk06tM
123,n01984695,spiny_lobster,Noisestorm,Crab Rave,https://img5.goodfon.ru/original/2041x1080/d/54/noisestorm-crab-rave-music-cover-monstercat.jpg,https://www.youtube.com/watch?v=LDU_Txk06tM
124,n01985128,crayfish,Noisestorm,Crab Rave,https://img5.goodfon.ru/original/2041x1080/d/54/noisestorm-crab-rave-music-cover-monstercat.jpg,https://www.youtube.com/watch?v=LDU_Txk06tM
125,n01986214,hermit_crab,Noisestorm,Crab Rave,https://img5.goodfon.ru/original/2041x1080/d/54/noisestorm-crab-rave-music-cover-monstercat.jpg,https://www.youtube.com/watch?v=LDU_Txk06tM
126,n01990800,isopod,Noisestorm,Crab Rave,https://img5.goodfon.ru/original/2041x1080/d/54/noisestorm-crab-rave-music-cover-monstercat.jpg,https://www.youtube.com/watch?v=LDU_Txk06tM
127,n02002556,white_stork,ATL,Марабу,https://pbs.twimg.com/media/CS53D5NUEAA_0Vw.jpg:large,https://www.youtube.com/watch?v=-uGsdUMAg9A
128,n02002724,black_stork,ATL,Марабу,https://pbs.twimg.com/media/CS53D5NUEAA_0Vw.jpg:large,https://www.youtube.com/watch?v=-uGsdUMAg9A
129,n02006656,spoonbill,ATL,Марабу,https://pbs.twimg.com/media/CS53D5NUEAA_0Vw.jpg:large,https://www.youtube.com/watch?v=-uGsdUMAg9A
130,n02007558,flamingo,ATL,Марабу,https://pbs.twimg.com/media/CS53D5NUEAA_0Vw.jpg:large,https://www.youtube.com/watch?v=-uGsdUMAg9A
131,n02009229,little_blue_heron,ATL,Марабу,https://pbs.twimg.com/media/CS53D5NUEAA_0Vw.jpg:large,https://www.youtube.com/watch?v=-uGsdUMAg9A
132,n02009912,American_egret,ATL,Марабу,https://pbs.twimg.com/media/CS53D5NUEAA_0Vw.jpg:large,https://www.youtube.com/watch?v=-uGsdUMAg9A
133,n02011460,bittern,ATL,Марабу,https://pbs.twimg.com/media/CS53D5NUEAA_0Vw.jpg:large,https://www.youtube.com/watch?v=-uGsdUMAg9A
